epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,285.277,0.74875,1.23627,0.68412,1.01288,0.81316,0.89815,0.88234,0.69541,0.74234,0.80907,0.78017,0.53489,0.73494,1.50366,0.83196,0.99085,9.44628e-05,9.44628e-05,9.44628e-05
78,288.804,0.73104,1.07066,0.6676,0.99638,0.80729,0.90202,0.87358,0.69121,0.73967,0.77443,0.7582,0.52803,0.71561,1.50786,0.86185,0.99401,9.43189e-05,9.43189e-05,9.43189e-05
79,292.437,0.72531,1.11192,0.68755,1.00404,0.79585,0.89101,0.85337,0.66696,0.73785,0.79676,0.76145,0.51082,0.75338,1.52451,0.89898,1.00099,9.41734e-05,9.41734e-05,9.41734e-05
80,296.077,0.75134,1.1144,0.69186,1.00069,0.80839,0.86127,0.86725,0.68733,0.74761,0.80109,0.78427,0.52601,0.73403,1.49765,0.89819,1.00255,9.40262e-05,9.40262e-05,9.40262e-05
81,299.645,0.69492,1.07633,0.67353,0.99795,0.80482,0.90539,0.88725,0.68738,0.76686,0.83238,0.8096,0.53846,0.79618,1.45024,0.88092,1.00993,9.38772e-05,9.38772e-05,9.38772e-05
82,303.34,0.76705,1.12052,0.70703,1.0207,0.80037,0.90033,0.88704,0.70295,0.76006,0.84589,0.80643,0.54357,0.77497,1.43815,0.85261,1.00937,9.37265e-05,9.37265e-05,9.37265e-05
83,306.886,0.7369,1.08836,0.67992,0.99428,0.80365,0.90834,0.8709,0.70513,0.74714,0.83783,0.79469,0.54484,0.7121,1.44451,0.82426,0.98688,9.35741e-05,9.35741e-05,9.35741e-05
84,310.456,0.72702,1.20759,0.67472,0.99141,0.81567,0.89128,0.86953,0.70414,0.74476,0.82072,0.78012,0.5393,0.72573,1.46761,0.83309,0.99234,9.342e-05,9.342e-05,9.342e-05
85,314.194,0.76113,1.11966,0.70236,1.01258,0.80619,0.85254,0.86621,0.69332,0.75925,0.78861,0.77845,0.52827,0.7343,1.49383,0.84971,1.00136,9.32642e-05,9.32642e-05,9.32642e-05
86,317.728,0.71971,1.10928,0.67689,0.9847,0.80302,0.84163,0.85658,0.6733,0.76738,0.80348,0.80738,0.52815,0.78145,1.51892,0.86341,1.01928,9.31067e-05,9.31067e-05,9.31067e-05
87,321.486,0.75803,1.15967,0.69565,0.98834,0.77241,0.86613,0.85579,0.68694,0.75501,0.83448,0.82263,0.54665,0.74885,1.52016,0.85788,1.00676,9.29476e-05,9.29476e-05,9.29476e-05
88,325.064,0.71848,1.05608,0.65691,1.00416,0.8328,0.85065,0.86866,0.70229,0.79532,0.81931,0.81619,0.54006,0.74072,1.54241,0.8653,1.00576,9.27867e-05,9.27867e-05,9.27867e-05
89,328.64,0.70734,1.10243,0.66839,0.99093,0.8339,0.83573,0.8622,0.69611,0.79939,0.80332,0.79549,0.53025,0.75204,1.53346,0.86594,1.00576,9.26242e-05,9.26242e-05,9.26242e-05
90,332.205,0.70688,1.08326,0.65293,0.97508,0.82945,0.84731,0.86036,0.682,0.81864,0.78145,0.77969,0.50992,0.77369,1.54489,0.88001,1.01558,9.24601e-05,9.24601e-05,9.24601e-05
91,335.805,0.70787,1.02969,0.6538,0.97195,0.8372,0.87749,0.8566,0.67203,0.81684,0.78368,0.7712,0.51322,0.76435,1.54948,0.86557,1.01201,9.22942e-05,9.22942e-05,9.22942e-05
92,339.431,0.73895,1.11873,0.68842,0.99996,0.85772,0.88314,0.86347,0.69387,0.82421,0.8029,0.78946,0.53916,0.7279,1.58705,0.87781,1.00922,9.21268e-05,9.21268e-05,9.21268e-05
93,342.877,0.6904,1.1472,0.6614,0.97724,0.85238,0.87842,0.87426,0.69983,0.78735,0.82296,0.8073,0.54039,0.7198,1.65074,0.91011,1.00087,9.19576e-05,9.19576e-05,9.19576e-05
94,346.541,0.68554,1.05598,0.63811,0.98369,0.84061,0.86528,0.87557,0.6982,0.80097,0.80897,0.80532,0.5288,0.72426,1.73423,0.8806,0.99649,9.17869e-05,9.17869e-05,9.17869e-05
95,350.102,0.65608,1.0738,0.63638,0.97397,0.81413,0.89274,0.86916,0.68787,0.82062,0.82184,0.80349,0.5154,0.7407,1.71832,0.83854,1.00278,9.16145e-05,9.16145e-05,9.16145e-05
96,353.833,0.66953,1.12131,0.61589,0.97905,0.79774,0.9219,0.86313,0.68595,0.80168,0.80109,0.78542,0.52444,0.75071,1.70475,0.83742,1.0073,9.14405e-05,9.14405e-05,9.14405e-05
97,357.88,0.6654,1.0566,0.64408,0.97499,0.79384,0.91824,0.86005,0.6906,0.7978,0.79219,0.76902,0.51867,0.73734,1.70047,0.86528,0.99835,9.12649e-05,9.12649e-05,9.12649e-05
98,361.39,0.69741,1.05058,0.64675,0.9867,0.80848,0.89732,0.86333,0.68805,0.80224,0.78882,0.77781,0.51521,0.73532,1.68976,0.86052,0.99274,9.10876e-05,9.10876e-05,9.10876e-05
99,365.106,0.67449,1.0454,0.66811,0.97512,0.8185,0.8884,0.87495,0.6941,0.77026,0.82759,0.79417,0.52073,0.73536,1.64481,0.83636,0.98489,9.09088e-05,9.09088e-05,9.09088e-05
100,368.766,0.70809,1.04436,0.63423,1.00901,0.83131,0.87665,0.8736,0.69067,0.82067,0.78883,0.78937,0.52251,0.75006,1.62859,0.83322,0.99286,9.07284e-05,9.07284e-05,9.07284e-05
101,372.44,0.70365,1.1734,0.64998,1.00109,0.81221,0.8815,0.87177,0.68033,0.78879,0.82176,0.80592,0.51859,0.77022,1.62874,0.83788,1.00383,9.05463e-05,9.05463e-05,9.05463e-05
102,376.107,0.66986,1.01076,0.64508,0.98709,0.82607,0.87726,0.87806,0.69174,0.8385,0.79724,0.8098,0.5317,0.74752,1.6263,0.81758,0.99364,9.03627e-05,9.03627e-05,9.03627e-05
103,379.586,0.74114,1.22215,0.67044,1.00543,0.85647,0.8761,0.88134,0.70534,0.80481,0.81034,0.79599,0.53254,0.73929,1.63058,0.82057,0.98774,9.01776e-05,9.01776e-05,9.01776e-05
104,383.229,0.69844,1.02252,0.64569,0.99314,0.83216,0.87068,0.88254,0.70714,0.81444,0.81162,0.80285,0.52992,0.74523,1.60959,0.83148,0.9874,8.99908e-05,8.99908e-05,8.99908e-05
105,386.95,0.69958,1.07506,0.63629,0.97844,0.84812,0.83922,0.88662,0.72442,0.81114,0.79304,0.81515,0.54179,0.73075,1.58431,0.81612,0.98086,8.98025e-05,8.98025e-05,8.98025e-05
106,390.373,0.713,1.12169,0.64516,0.99346,0.85455,0.85184,0.88956,0.71916,0.81744,0.82196,0.83117,0.5463,0.74367,1.5857,0.82429,0.98624,8.96127e-05,8.96127e-05,8.96127e-05
107,394.055,0.66094,0.99498,0.63777,0.96718,0.86122,0.87913,0.89401,0.71966,0.83616,0.84897,0.83675,0.55887,0.73357,1.5839,0.79933,0.98075,8.94213e-05,8.94213e-05,8.94213e-05
108,397.954,0.64726,0.96239,0.62652,0.9742,0.85307,0.87863,0.88939,0.70671,0.85474,0.84868,0.84601,0.54712,0.72397,1.59163,0.78302,0.97916,8.92283e-05,8.92283e-05,8.92283e-05
